data;Índ. Dólar;dólar EUA spot;dólar-ouro;dólar-prata;méx.;euro-dólar EUA;libra-dól;Japão;reais BR;CRB Tot;CRB Ali;CRB Ind;CRB Met;CRB Ól.;CRB Text;CRB Gado;Soja Spot;Milho Spot;Açúcar Spot;Café A Spot;Café A Indx;Petróleo B;Petróleo W;Ouro;Prata
30/09/1998;96,17;1;296,95;5,395;10,22;1,1706;1,6989;136,46;1,1856;;;;;;;;;;;;;;;;
01/10/1998;95,36;1;299,85;5,305;10,385;1,1855;1,7043;135,95;1,18;;;;;;;;;;;;;;;;
02/10/1998;95,37;1;300,55;5,215;10,2854;1,1953;1,7004;135,5;1,1832;;;;;;;;;;;;;;;;
05/10/1998;94,98;1;296,65;5,075;10,225;1,1966;1,6844;134,3;1,186;;;;;;;;;;;;;;;;
06/10/1998;94,53;1;296,25;5,115;10,205;1,1936;1,6855;130,03;1,1849;;;;;;;;;;;;;;;;
07/10/1998;92,37;1;301,55;5,145;10,28;1,2124;1,6991;121,3;1,1832;;;;;;;;;;;;;;;;
08/10/1998;93,11;1;299,55;5,025;10,26;1,2161;1,7115;118,85;1,1845;;;;;;;;;;;;;;;;
09/10/1998;93,1;1;296,75;4,795;10,1525;1,1975;1,7084;116,65;1,1867;;;;;;;;;;;;;;;;
12/10/1998;93,8;1;296,25;4,835;10,12;1,1858;1,6935;117,45;1,1845;;;;;;;;;;;;;;;;
13/10/1998;93,14;1;296,55;4,845;10,1985;1,195;1,7077;119,28;1,1877;;;;;;;;;;;;;;;;
14/10/1998;93,4;1;296,05;4,82;10,145;1,1896;1,7041;118,79;1,1888;;;;;;;;;;;;;;;;
15/10/1998;92,2;1;298,7;4,945;10,135;1,2045;1,709;115,8;1,1886;;;;;;;;;;;;;;;;
16/10/1998;92,22;1;299,95;4,945;10,05;1,205;1,7027;115,27;1,1886;;;;;;;;;;;;;;;;
19/10/1998;92,57;1;296,15;4,895;10,05;1,2009;1,6994;114,4;1,1899;;;;;;;;;;;;;;;;
20/10/1998;93,02;1;296,25;4,895;10,035;1,192;1,7088;116,2;1,1896;;;;;;;;;;;;;;;;
21/10/1998;93,49;1;295,25;4,895;10,035;1,1878;1,6953;117,13;1,1899;;;;;;;;;;;;;;;;
22/10/1998;93,21;1;292,55;4,895;9,965;1,1939;1,6958;117,45;1,1905;;;;;;;;;;;;;;;;
23/10/1998;93,17;1;292,85;4,875;10,015;1,1968;1,6876;118,07;1,1911;;;;;;;;;;;;;;;;
26/10/1998;94,39;1;292,2;4,98;10,045;1,1895;1,6652;119,45;1,1913;;;;;;;;;;;;;;;;
27/10/1998;93,88;1;293,65;4,965;10,14;1,1797;1,6774;118,03;1,1918;;;;;;;;;;;;;;;;
28/10/1998;93,92;1;293,1;5,065;10,145;1,1804;1,6754;117,83;1,192;;;;;;;;;;;;;;;;
29/10/1998;93,79;1;293,65;5,085;10,22;1,185;1,6783;116,92;1,1918;;;;;;;;;;;;;;;;
30/10/1998;93,68;1;292,55;5,05;10,095;1,1812;1,6755;115,98;1,1928;;;;;;;;;;;;;;;;
